Beras Medium,Ikan Teri Asin,Bawang Putih Impor Honan,Bawang Putih Impor Kating,Minyak Goreng Bimoli Botol,Bawang Merah (Medium),Cabai Rawit Hijau,Minyak Goreng Curah,Cabai Rawit Merah,Cabai Merah Besar,Daging Sapi Lokal Paha Belakang,Cabai Merah Keriting,Indomie Rasa Kari Ayam,Kacang Kedelai Lokal,Daging Sapi Lokal Daging Has Luar (Sirloin),Gula Pasir,Kacang Kedelai Eks Impor,Daging Sapi Lokal Daging Sandung Lamur (Brisket),Garam Beryodium Halus,Garam Beryodium Bata,Daging Sapi Lokal Daging Tetelan,Jagung Pipilan Kecil,Susu Bubuk Kaleng Merk Indomilk,Susu Bubuk Kaleng Merk Bendera,Daging Sapi Impor Beku,Susu Kental Manis Kaleng Merk Indomilk,Susu Kental Manis Kaleng Merk Bendera,Daging Sapi Lokal Has Dalam,Telur Ayam Kampung,Telur Ayam Ras,Ayam Boiler,Tepung Terigu Segitiga Biru,Ikan Kembung,Ayam Kampung,Kacang Hijau,Ketela Pohon,Beras Premium,Kacang Tanah
11480.0,114340.0,37500.0,44400.0,13075.0,35840.0,40260.0,12740.0,51340.0,59800.0,120660.0,50160.0,2420.0,10567.0,116667.0,13400.0,9440.0,96667.0,10600.0,3940.0,60000.0,15567.0,42600.0,44333.0,88350.0,10340.0,11960.0,150000.0,2360.0,21940.0,37540.0,10140.0,36540.0,87100.0,21900.0,4940.0,12050.0,25500.0
11780.0,116340.0,37500.0,49740.0,13060.0,35840.0,39340.0,12700.0,54000.0,61000.0,320660.0,49840.0,2400.0,10567.0,118333.0,12860.0,11800.0,98333.0,10940.0,11240.0,73333.0,15433.0,42233.0,44000.0,89150.0,10300.0,11800.0,148333.0,2340.0,21740.0,37200.0,10040.0,37340.0,63667.0,22240.0,4940.0,12175.0,25840.0
11580.0,114340.0,37500.0,48740.0,13060.0,35940.0,39840.0,12900.0,53500.0,61500.0,319160.0,48740.0,2400.0,10567.0,115833.0,12760.0,12175.0,96667.0,8940.0,8040.0,56667.0,15433.0,42233.0,44000.0,89150.0,10600.0,11800.0,146667.0,2330.0,21940.0,37500.0,10240.0,37840.0,67750.0,22240.0,4940.0,12300.0,25840.0
10880.0,113340.0,37500.0,47040.0,13010.0,35640.0,41340.0,12700.0,52500.0,59000.0,119660.0,47840.0,2400.0,10567.0,116667.0,12710.0,12050.0,77500.0,10140.0,3960.0,63333.0,15433.0,42233.0,44000.0,89150.0,10400.0,11900.0,145833.0,2280.0,22140.0,37300.0,10140.0,38340.0,86667.0,21740.0,5340.0,12675.0,24740.0
11480.0,115340.0,35000.0,45200.0,13340.0,35240.0,39540.0,12640.0,50640.0,67660.0,119660.0,48300.0,2420.0,10733.0,116667.0,12910.0,12550.0,85000.0,13460.0,3680.0,70000.0,15000.0,42267.0,43933.0,74750.0,10440.0,11860.0,146667.0,2260.0,22460.0,38300.0,10000.0,37700.0,80825.0,23060.0,5400.0,13375.0,25800.0
11680.0,115040.0,37500.0,44200.0,13240.0,35140.0,39840.0,12640.0,44140.0,61660.0,119660.0,44300.0,2420.0,11400.0,123333.0,12710.0,12925.0,83333.0,10060.0,3760.0,68333.0,15000.0,42267.0,43933.0,74750.0,10640.0,11860.0,150000.0,2260.0,22760.0,37200.0,10300.0,39200.0,74575.0,22460.0,5400.0,13500.0,26000.0
11290.0,117500.0,37500.0,44400.0,13240.0,34440.0,39340.0,12540.0,44800.0,64540.0,119660.0,44960.0,2410.0,11400.0,120000.0,12860.0,11800.0,81667.0,10660.0,3860.0,65833.0,15000.0,42267.0,43933.0,87500.0,10640.0,11860.0,151667.0,2240.0,22740.0,36700.0,10100.0,36600.0,75825.0,21660.0,5400.0,12313.0,24700.0
11190.0,102840.0,35000.0,40900.0,13090.0,33540.0,37840.0,12590.0,47300.0,56000.0,119660.0,41400.0,2400.0,11100.0,120000.0,12940.0,13000.0,100000.0,10460.0,3920.0,70000.0,15433.0,42400.0,44333.0,84150.0,10340.0,11860.0,146667.0,2240.0,22700.0,37100.0,9860.0,37200.0,80825.0,23060.0,5340.0,12825.0,25700.0
11100.0,111000.0,35000.0,42400.0,13240.0,34140.0,38840.0,12540.0,45160.0,61800.0,119660.0,43800.0,2420.0,11400.0,120000.0,12760.0,12425.0,85000.0,10960.0,4000.0,65000.0,15000.0,42267.0,43933.0,85000.0,10340.0,11660.0,145000.0,2310.0,22740.0,36500.0,10100.0,37200.0,86100.0,22460.0,5400.0,12625.0,25000.0
11110.0,116000.0,33500.0,42400.0,13040.0,34140.0,38340.0,12540.0,44660.0,61800.0,117160.0,43800.0,2420.0,10733.0,82000.0,12660.0,11675.0,81667.0,11360.0,3760.0,65000.0,15000.0,42267.0,43933.0,87500.0,10290.0,11860.0,143333.0,2240.0,22940.0,37700.0,9900.0,37200.0,86100.0,21660.0,5400.0,12813.0,25100.0
