TANGGAL,KOMODITI,SATUAN,HARGA
28/06/2018,Cabai Merah Kriting,Kg,34140
29/06/2018,Cabai Merah Kriting,Kg,35140
43196,Cabai Merah Besar,Kg,42340
43226,Cabai Merah Besar,Kg,43840
43257,Cabai Merah Besar,Kg,43840
43287,Cabai Merah Besar,Kg,38540
43318,Cabai Merah Besar,Kg,39040
21/06/2018,Cabai Merah Besar,Kg,40540
22/06/2018,Cabai Merah Besar,Kg,43540
25/06/2018,Cabai Merah Besar,Kg,42540
26/06/2018,Cabai Merah Besar,Kg,43040
28/06/2018,Cabai Merah Besar,Kg,41540
29/06/2018,Cabai Merah Besar,Kg,39540
43196,Cabai Rawit Merah,Kg,33260
43226,Cabai Rawit Merah,Kg,36660
43257,Cabai Rawit Merah,Kg,34160
43287,Cabai Rawit Merah,Kg,34160
43318,Cabai Rawit Merah,Kg,35860
21/06/2018,Cabai Rawit Merah,Kg,37360
22/06/2018,Cabai Rawit Merah,Kg,41060
25/06/2018,Cabai Rawit Merah,Kg,40160
26/06/2018,Cabai Rawit Merah,Kg,43160
28/06/2018,Cabai Rawit Merah,Kg,41660
29/06/2018,Cabai Rawit Merah,Kg,45660
43196,Cabai Rawit Hijau,Kg,32840
43226,Cabai Rawit Hijau,Kg,36640
43257,Cabai Rawit Hijau,Kg,33340
43287,Cabai Rawit Hijau,Kg,33340
43318,Cabai Rawit Hijau,Kg,32340
21/06/2018,Cabai Rawit Hijau,Kg,30640
22/06/2018,Cabai Rawit Hijau,Kg,37640
25/06/2018,Cabai Rawit Hijau,Kg,33340
26/06/2018,Cabai Rawit Hijau,Kg,32840
28/06/2018,Cabai Rawit Hijau,Kg,34340
29/06/2018,Cabai Rawit Hijau,Kg,33340
43196,Bawang Merah (Medium),Kg,38940
43226,Bawang Merah (Medium),Kg,41240
43257,Bawang Merah (Medium),Kg,38740
43287,Bawang Merah (Medium),Kg,40540
43318,Bawang Merah (Medium),Kg,39540
21/06/2018,Bawang Merah (Medium),Kg,40540
22/06/2018,Bawang Merah (Medium),Kg,41440
25/06/2018,Bawang Merah (Medium),Kg,36340
26/06/2018,Bawang Merah (Medium),Kg,37040
28/06/2018,Bawang Merah (Medium),Kg,36540
29/06/2018,Bawang Merah (Medium),Kg,38040
43196,Bawang Putih Impor  Kating,Kg,33540
43226,Bawang Putih Impor  Kating,Kg,36840
43257,Bawang Putih Impor  Kating,Kg,35340
43287,Bawang Putih Impor  Kating,Kg,33140
43318,Bawang Putih Impor  Kating,Kg,33640
21/06/2018,Bawang Putih Impor  Kating,Kg,35640
22/06/2018,Bawang Putih Impor  Kating,Kg,39140
25/06/2018,Bawang Putih Impor  Kating,Kg,34840
26/06/2018,Bawang Putih Impor  Kating,Kg,34340
28/06/2018,Bawang Putih Impor  Kating,Kg,36340
29/06/2018,Bawang Putih Impor  Kating,Kg,38840
43196,Bawang Putih Impor  Honan,Kg,25000
43226,Bawang Putih Impor  Honan,Kg,32500
43257,Bawang Putih Impor  Honan,Kg,30000
43287,Bawang Putih Impor  Honan,Kg,28000
43318,Bawang Putih Impor  Honan,Kg,28000
21/06/2018,Bawang Putih Impor  Honan,Kg,30000
22/06/2018,Bawang Putih Impor  Honan,Kg,36500
25/06/2018,Bawang Putih Impor  Honan,Kg,29000
26/06/2018,Bawang Putih Impor  Honan,Kg,29000
28/06/2018,Bawang Putih Impor  Honan,Kg,29000
29/06/2018,Bawang Putih Impor  Honan,Kg,29000
43196,Ikan Teri Asin,Kg,110000
43226,Ikan Teri Asin,Kg,107000
43257,Ikan Teri Asin,Kg,105500
43287,Ikan Teri Asin,Kg,110000
43318,Ikan Teri Asin,Kg,109000
21/06/2018,Ikan Teri Asin,Kg,107000
22/06/2018,Ikan Teri Asin,Kg,103000
25/06/2018,Ikan Teri Asin,Kg,105000
26/06/2018,Ikan Teri Asin,Kg,107000
28/06/2018,Ikan Teri Asin,Kg,106000
29/06/2018,Ikan Teri Asin,Kg,103000
43196,Ikan Kembung,Kg,37700
43226,Ikan Kembung,Kg,41700
43257,Ikan Kembung,Kg,39200
43287,Ikan Kembung,Kg,36900
43318,Ikan Kembung,Kg,38700
21/06/2018,Ikan Kembung,Kg,38200
22/06/2018,Ikan Kembung,Kg,39200
25/06/2018,Ikan Kembung,Kg,38700
26/06/2018,Ikan Kembung,Kg,38700
28/06/2018,Ikan Kembung,Kg,37200
29/06/2018,Ikan Kembung,Kg,38700
43196,Kacang Hijau,Kg,22460
43226,Kacang Hijau,Kg,22860
43257,Kacang Hijau,Kg,22260
43287,Kacang Hijau,Kg,21560
43318,Kacang Hijau,Kg,21860
21/06/2018,Kacang Hijau,Kg,22460
22/06/2018,Kacang Hijau,Kg,21660
25/06/2018,Kacang Hijau,Kg,22660
26/06/2018,Kacang Hijau,Kg,22460
28/06/2018,Kacang Hijau,Kg,22060
29/06/2018,Kacang Hijau,Kg,22760
43196,Kacang Tanah,Kg,25040
43226,Kacang Tanah,Kg,24540
43257,Kacang Tanah,Kg,24740
43287,Kacang Tanah,Kg,25740
43318,Kacang Tanah,Kg,24940
21/06/2018,Kacang Tanah,Kg,26140
22/06/2018,Kacang Tanah,Kg,26440
25/06/2018,Kacang Tanah,Kg,25340
26/06/2018,Kacang Tanah,Kg,24890
28/06/2018,Kacang Tanah,Kg,25040
29/06/2018,Kacang Tanah,Kg,25340
43196,Ketela Pohon,Kg,5400
43226,Ketela Pohon,Kg,5600
43257,Ketela Pohon,Kg,5400
43287,Ketela Pohon,Kg,5400
43318,Ketela Pohon,Kg,5300
21/06/2018,Ketela Pohon,Kg,5300
22/06/2018,Ketela Pohon,Kg,5400
25/06/2018,Ketela Pohon,Kg,5200
26/06/2018,Ketela Pohon,Kg,5200
28/06/2018,Ketela Pohon,Kg,5200
29/06/2018,Ketela Pohon,Kg,5200
