TANGGAL,KOMODITI,SATUAN,HARGA,,,,,
11/1/2018,Daging Sapi Impor Beku,Kg,120000,,,,,
11/1/2018,Daging Sapi Lokal Has Dalam,Kg,143333,,,,,
11/1/2018,Ayam Boiler,ekor,38260,,,,,
11/1/2018,Ayam Kampung,ekor,79250,,,,,
11/1/2018,Telur Ayam Ras,Kg,25900,,,,,
11/1/2018,Telur Ayam Kampung,butir,2110,,,,,
11/1/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11660,,,,,
11/1/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10300,,,,,
11/1/2018,Susu Bubuk Kaleng Merk Bendera,buah,44167,,,,,
11/1/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42400,,,,,
11/1/2018,Jagung Pipilan Kecil,Kg,15500,,,,,
11/1/2018,Garam Beryodium Bata,250 gr,3920,,,,,
11/1/2018,Garam Beryodium Halus,Kg,11460,,,,,
11/1/2018,Tepung Terigu Segitiga Biru,Kg,10000,,,,,
11/1/2018,Kacang Kedelai Eks impor,Kg,12500,,,,,
11/1/2018,Kacang Kedelai Lokal,Kg,3667,,,,,
11/1/2018,Mie Instan Indomie Rasa Kari Ayam,buah,2360,,,,,
11/1/2018,Cabe Merah Keriting,Kg,46860,,,,,
11/1/2018,Cabe Merah Besar,Kg,42340,,,,,
11/1/2018,Cabe Rawit Merah,Kg,53660,,,,,
11/1/2018,Cabe Rawit Hijau,Kg,37040,,,,,
11/1/2018,Bawang Merah (Medium),Kg,27340,,,,,
11/1/2018,Bawang Putih Impor (Kating),Kg,27940,,,,,
11/1/2018,Bawang Putih Impor (Honan),Kg,28500,,,,,
11/1/2018,Ikan Teri Asin,Kg,101660,,,,,
11/1/2018,Ikan Kembung,Kg,37660,,,,,
11/1/2018,Kacang Hijau,Kg,22940,,,,,
11/1/2018,Kacang Tanah,Kg,25500,,,,,
11/1/2018,Ketela Pohon,Kg,4800,,,,,
12/1/2018,Beras,Kg,11520,,,,,
12/1/2018,Gula Pasir,Kg,13700,,,,,
12/1/2018,Minyak Goreng Bimoli Botol,Liter,13440,,,,,
12/1/2018,Minyak Goreng Curah,Liter,12300,,,,,
12/1/2018,Daging Sapi  Lokal  Paha Belakang,Kg,119660,,,,,
12/1/2018,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,120000,,,,,
12/1/2018,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,96667,,,,,
12/1/2018,Daging Sapi  Lokal  Daging  Tetelan,Kg,73333,,,,,
12/1/2018,Daging Sapi  Impor  Beku,Kg,120000,,,,,
12/1/2018,Daging Sapi  Lokal  Has Dalam,Kg,142500,,,,,
12/1/2018,Ayam Boiler,ekor,36260,,,,,
12/1/2018,Ayam Kampung,ekor,88000,,,,,
12/1/2018,Telur Ayam Ras,Kg,25700,,,,,
12/1/2018,Telur Ayam Kampung,butir,2160,,,,,
12/1/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11610,,,,,
12/1/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10300,,,,,
12/1/2018,Susu Bubuk Kaleng Merk Bendera,buah,44167,,,,,
12/1/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42400,,,,,
12/1/2018,Jagung Pipilan Kecil,Kg,15500,,,,,
12/1/2018,Garam Beryodium Bata,250 gr,3720,,,,,
12/1/2018,Garam Beryodium Halus,Kg,11360,,,,,
12/1/2018,Tepung Terigu Segitiga Biru,Kg,9900,,,,,
12/1/2018,Kacang Kedelai Eks impor,Kg,12000,,,,,
12/1/2018,Kacang Kedelai Lokal,Kg,3667,,,,,
12/1/2018,Mie Instan Indomie Rasa Kari Ayam,buah,2360,,,,,
12/1/2018,Cabe Merah Keriting,Kg,44360,,,,,
12/1/2018,Cabe Merah Besar,Kg,41040,,,,,
12/1/2018,Cabe Rawit Merah,Kg,49160,,,,,
12/1/2018,Cabe Rawit Hijau,Kg,38340,,,,,
12/1/2018,Bawang Merah (Medium),Kg,25640,,,,,
12/1/2018,Bawang Putih Impor (Kating),Kg,27440,,,,,
12/1/2018,Bawang Putih Impor (Honan),Kg,26000,,,,,
12/1/2018,Ikan Teri Asin,Kg,100960,,,,,
12/1/2018,Ikan Kembung,Kg,37660,,,,,
12/1/2018,Kacang Hijau,Kg,22240,,,,,
